Season,School,Player,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,CareerPoints,FirstSeasonPoints
2009-2010,Duke,Mason Plumlee,ACC,34,1,480,49,106,0.462,47,98,0.48,2,8,0.25,25,46,0.543,39,66,105,30,18,30,32,73,125,0,125
2010-2011,Duke,Mason Plumlee,ACC,37,31,960,112,190,0.589,112,188,0.596,0,2,0,41,93,0.441,97,216,313,57,35,62,73,96,265,0
2011-2012,Duke,Mason Plumlee,ACC,34,31,964,143,250,0.572,143,250,0.572,0,0,,93,176,0.528,99,213,312,55,26,55,74,86,379,0
2012-2013,Duke,Mason Plumlee,ACC,36,36,1248,221,369,0.599,221,369,0.599,0,0,,173,254,0.681,98,260,358,70,36,52,103,92,615,0
CareerPTS,Duke,Mason Plumlee,ACC,141,99,3652,525,915,0.574,523,905,0.578,2,10,0.2,332,569,0.583,333,5.4,755,1088,115,199,282,347,1384,1384,0
OneSeasonPTS,Duke,Mason Plumlee,ACC,34,1,480,49,106,0.462,47,98,0.48,2,8,0.25,25,46,0.543,39,66,105,30,18,30,32,73,125,0,125
