Season,School,Player,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-2013,Duke,Marshall Plumlee,ACC,19,0,50,1,8,0.125,1,8,0.125,0,0,,0,8,0,5,6,11,1,3,3,5,5,2
2013-2014,Duke,Marshall Plumlee,ACC,30,0,253,16,29,0.552,16,29,0.552,0,0,,6,17,0.353,36,29,65,8,6,17,10,29,38
2014-2015,Duke,Marshall Plumlee,ACC,39,0,375,32,42,0.762,31,41,0.756,1,1,1,22,31,0.71,39,53,92,12,8,22,14,58,87
2015-2016,Duke,Marshall Plumlee,ACC,36,36,1099,106,154,0.688,106,154,0.688,0,0,,88,153,0.575,119,189,308,38,27,58,39,100,300
2012-2016,Duke,Marshall Plumlee,ACC,124,36,1777,155,233,0.665,154,232,0.664,1,1,1,116,209,0.555,199,277,476,59,44,100,68,192,427
