Team,Season,G,Month,Date,where,Opp,W_L,TmPts,OppPts,TeamFG,TeamFGA,FGPCT,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Golden State Warriors,2015-16,45,1996-01-25,2016-01-25,,SAS,W,120,90,44,85,0.518,11,26,0.423,21,25,0.84,10,45,31,15,3,21,25
Golden State Warriors,2015-16,46,1996-01-27,2016-01-27,,DAL,W,127,107,47,81,0.58,14,29,0.483,19,21,0.905,7,40,33,5,4,9,18
Golden State Warriors,2015-16,47,1996-01-30,2016-01-30,@,PHI,W,108,105,47,95,0.495,13,30,0.433,1,2,0.5,12,57,37,5,7,23,18
Golden State Warriors,2015-16,48,1996-01-31,2016-01-31,@,NYK,W,116,95,42,73,0.575,16,29,0.552,16,23,0.696,3,44,31,8,5,18,21
Golden State Warriors,2015-16,49,1996-02-03,2016-02-03,@,WAS,W,134,121,49,93,0.527,20,41,0.488,16,29,0.552,11,49,35,10,5,18,24
Golden State Warriors,2015-16,50,1996-02-06,2016-02-06,,OKC,W,116,108,48,97,0.495,7,26,0.269,13,20,0.65,13,46,24,7,4,10,23
Golden State Warriors,2015-16,51,1996-02-09,2016-02-09,,HOU,W,123,110,44,94,0.468,12,34,0.353,23,26,0.885,14,49,28,5,6,12,26
Golden State Warriors,2015-16,52,1996-02-10,2016-02-10,@,PHO,W,112,104,37,89,0.416,14,40,0.35,24,29,0.828,8,50,24,12,7,13,22
Golden State Warriors,2015-16,53,1996-02-19,2016-02-19,@,POR,L,105,137,36,92,0.391,12,34,0.353,21,28,0.75,14,47,25,7,4,20,17
Golden State Warriors,2015-16,54,1996-02-20,2016-02-20,@,LAC,W,115,112,42,82,0.512,11,31,0.355,20,26,0.769,6,39,32,8,2,14,19
Golden State Warriors,2015-16,55,1996-02-21,2016-02-22,@,ATL,W,102,92,39,89,0.438,14,45,0.311,10,12,0.833,6,43,30,14,8,13,17
Golden State Warriors,2015-16,56,1996-02-24,2016-02-24,@,MIA,W,118,112,42,90,0.467,13,28,0.464,21,25,0.84,9,43,23,7,2,13,24
Golden State Warriors,2015-16,57,1996-02-25,2016-02-25,@,ORL,W,130,114,53,88,0.602,13,25,0.52,11,16,0.688,8,42,35,9,4,20,21
Golden State Warriors,2015-16,58,1996-02-27,2016-02-27,@,OKC,W,121,118,45,95,0.474,14,32,0.438,17,25,0.68,4,32,25,15,7,11,22
Golden State Warriors,2015-16,59,1996-03-01,2016-03-01,,ATL,W,109,105,41,103,0.398,12,36,0.333,15,17,0.882,18,51,28,11,3,11,22
Golden State Warriors,2015-16,60,1996-03-03,2016-03-03,,OKC,W,121,106,47,87,0.54,11,34,0.324,16,21,0.762,4,40,33,11,3,8,20
Golden State Warriors,2015-16,61,1996-03-06,2016-03-06,@,LAL,L,95,112,37,92,0.402,4,30,0.133,17,21,0.81,17,49,32,5,3,20,20
Golden State Warriors,2015-16,62,1996-03-07,2016-03-07,,ORL,W,119,113,42,84,0.5,16,35,0.457,19,27,0.704,10,50,27,13,7,24,26
Golden State Warriors,2015-16,63,1996-03-09,2016-03-09,,UTA,W,115,94,48,84,0.571,13,30,0.433,6,10,0.6,9,39,36,10,7,15,23
Golden State Warriors,2015-16,64,1996-03-11,2016-03-11,,POR,W,128,112,40,89,0.449,18,40,0.45,30,39,0.769,16,56,23,5,6,8,20
Golden State Warriors,2015-16,65,1996-03-12,2016-03-12,,PHO,W,123,116,42,84,0.5,11,33,0.333,28,33,0.848,7,42,28,6,9,8,25
Golden State Warriors,2015-16,66,1996-03-14,2016-03-14,,NOP,W,125,107,47,81,0.58,12,25,0.48,19,23,0.826,8,46,30,6,6,18,22
Golden State Warriors,2015-16,67,1996-03-16,2016-03-16,,NYK,W,121,85,46,91,0.505,18,37,0.486,11,12,0.917,12,54,32,4,8,12,13
Golden State Warriors,2015-16,68,1996-03-18,2016-03-18,@,DAL,W,130,112,48,95,0.505,22,38,0.579,12,14,0.857,5,42,35,8,7,12,21
Golden State Warriors,2015-16,69,1996-03-19,2016-03-19,@,SAS,L,79,87,31,82,0.378,9,36,0.25,8,10,0.8,7,37,24,12,3,10,21
Golden State Warriors,2015-16,70,1996-03-21,2016-03-21,@,MIN,W,109,104,43,87,0.494,8,24,0.333,15,24,0.625,13,44,31,13,10,16,20
Golden State Warriors,2015-16,71,1996-03-23,2016-03-23,,LAC,W,114,98,39,87,0.448,15,34,0.441,21,28,0.75,11,50,23,9,5,12,20
Golden State Warriors,2015-16,72,1996-03-25,2016-03-25,,DAL,W,128,120,43,88,0.489,21,45,0.467,21,23,0.913,7,40,30,8,10,7,16
Golden State Warriors,2015-16,73,1996-03-27,2016-03-27,,PHI,W,117,105,44,83,0.53,14,33,0.424,15,20,0.75,7,44,32,9,4,18,15
Golden State Warriors,2015-16,74,1996-03-29,2016-03-29,,WAS,W,102,94,38,87,0.437,11,25,0.44,15,23,0.652,7,55,27,11,6,16,23
Golden State Warriors,2015-16,75,1996-03-30,2016-03-30,@,UTA,W,103,96,39,89,0.438,12,35,0.343,13,18,0.722,9,46,19,6,6,18,21
Golden State Warriors,2015-16,76,1996-04-01,2016-04-01,,BOS,L,106,109,38,83,0.458,20,43,0.465,10,13,0.769,8,41,25,12,7,22,24
Golden State Warriors,2015-16,77,1996-04-03,2016-04-03,,POR,W,136,111,50,88,0.568,18,30,0.6,18,22,0.818,11,43,30,5,8,12,23
Golden State Warriors,2015-16,78,1996-04-05,2016-04-05,,MIN,L,117,124,49,98,0.5,12,35,0.343,7,8,0.875,9,46,35,9,5,23,29
Golden State Warriors,2015-16,79,1996-04-07,2016-04-07,,SAS,W,112,101,45,83,0.542,12,25,0.48,10,11,0.909,7,43,33,8,2,15,22
Golden State Warriors,2015-16,80,1996-04-09,2016-04-09,@,MEM,W,100,99,39,87,0.448,10,36,0.278,12,13,0.923,7,48,20,3,7,11,14
Golden State Warriors,2015-16,81,1996-04-10,2016-04-10,@,SAS,W,92,86,34,77,0.442,10,27,0.37,14,18,0.778,7,46,19,7,6,13,18
Golden State Warriors,2015-16,82,1996-04-13,2016-04-13,,MEM,W,125,104,46,87,0.529,20,47,0.426,13,16,0.813,12,51,35,7,7,17,14
